a,b,c,d
2.8k,,,
290,,,
550,,,
195,,,
4k,,,
360,,,
125,,,
500,,,
285,,,
7.1k,,,
420,,,
432,,,
100,,,
300,,,
3k,,,
14.2k,,,
315,,,
380,,,
350,,,
900,,,
100,,,
450,,,
350,,,
520,,,
447.1k,,,
1.6M,,,
6.5k,,,
3k,,,
385,,,
6.5k,,,
2k,,,
728,,,
125,,,
225,,,
8.5k,,,
7.8k,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
a,b,c,d
2.8k,,,
290,,,
550,,,
195,,,
4k,,,
360,,,
125,,,
500,,,
285,,,
7.1k,,,
420,,,
432,,,
447.1k,,,
1.6M,,,
6.5k,,,
3k,,,
385,,,
6.5k,,,
2k,,,
728,,,
125,,,
225,,,
100,,,
300,,,
3k,,,
14.2k,,,
315,,,
380,,,
350,,,
900,,,
100,,,
450,,,
350,,,
520,,,
8.5k,,,
7.8k,,,
